window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_2707	0.2	0.24	0.43	0.19	0	0.03	0.02	1.2	0.24
window_2708	0.2	0.24	0.43	0.19	0	0.03	0.02	1.2	0.24
window_2716	2.26	1.75	1.77	0.46	0.59	1.38	4.02	5.54	2.15
window_2756	31.61	11.32	13.28	12.9	0.01	8.99	9.6	59.41	13.12
window_2764	11.08	9.7	11.05	8.67	0.13	10.12	3.9	12.54	9.35
window_2785	2.04	1.66	3.69	0.73	0.14	2.64	1.05	4.45	2
window_2790	1.41	0.34	0.38	0.47	2.55	0.36	1.83	6.49	0.64
window_2791	0.57	0.29	0.57	0	0	0.93	0.21	1.02	0.38
window_2831	4.66	2.11	4.66	2.88	0.13	7.27	2.69	7.58	2.52
window_2866	0	0	0	0.26	10.39	0	0	0	0
window_2951	0.37	0	0.02	1.01	0	18.25	1.36	11.11	0.21
window_2952	0.37	0	0.02	1.01	0	18.25	1.36	11.11	0.21
window_2997	3.22	5.69	4.42	2.35	0.19	5.61	4.07	5.01	4.11
window_2998	3.22	5.69	4.42	2.35	0.19	5.61	4.07	5.01	4.11
window_3097	4.96	2.25	4.69	1.1	0.18	0.5	2.65	16.54	1.96
window_3098	4.96	2.25	4.69	1.1	0.18	0.5	2.65	16.54	1.96
window_3310	1.35	0.87	1	1.94	0.09	0.5	0.78	1.79	0.63
window_3452	34.59	5.9	29.26	10.91	0.66	18.15	5.5	31.22	20.88
window_3453	34.59	5.9	29.26	10.91	0.66	18.15	5.5	31.22	20.88
window_3454	34.59	5.9	29.26	10.91	0.66	18.15	5.5	31.22	20.88
window_3600	0.54	0.39	0.98	0	0	0.5	0	1.33	0.46
window_3604	2.64	0.82	2.6	0.54	0.63	2.62	1.15	3.91	2.37
window_3606	3.74	1.06	2.15	1.25	0.09	4.25	1.96	5.78	1.63
window_3651	0.01	0	0.24	0	0	0.05	0.07	1.31	0.03
window_3709	41.62	43.62	21.49	13.25	0.12	5.6	3.02	33.81	13.93
window_3995	0.02	0	0.2	0	0.08	0.02	1.1	0.65	0.05
window_4224	2.31	0.3	27.12	1.24	0.01	1.49	2.91	21.14	5.02
window_4225	3.03	0.89	5.25	1.06	0.01	2.58	0.44	4.24	1
window_4247	16.38	7.62	10.07	6.35	0.08	22.53	2.69	12.17	8.51
window_4248	16.38	7.62	10.07	6.35	0.08	22.53	2.69	12.17	8.51
window_4250	4.27	0.79	3.47	1.31	0.03	0.93	1.18	6.12	0.77
window_4262	0.02	15.36	0.34	13.77	33.33	0.1	2000.65	0.02	85.95
window_4277	6.13	5.14	5.63	4.47	0.73	6.01	9	6.5	6.78
window_4298	7.63	14.45	8.5	17.65	0.76	10.14	8.02	5.17	9.91
window_4305	34.13	49.09	37.07	35.08	0.75	56.21	17.64	38.88	39.47
window_4341	1.13	0.33	0.21	0.78	18.85	0.01	112.86	1.2	2.06
window_4349	2.52	0.21	2.34	0.42	0	0.9	1.41	8.84	0.33
window_4356	2.66	1.38	2.26	1.46	4.32	1.6	14.9	2.53	2.77
window_4357	5.29	0.85	4.4	0.78	4.47	2.09	7.5	7.2	2.42
window_4391	6.54	2.91	8.78	2.81	0.04	2.77	1.79	11.57	2.12
window_4392	6.54	2.91	8.78	2.81	0.04	2.77	1.79	11.57	2.12
window_4393	6.54	2.91	8.78	2.81	0.04	2.77	1.79	11.57	2.12
window_4411	19.57	3.14	13.9	2.68	0.13	9.04	1.97	14.4	7.06
window_4434	6.33	1.28	5.83	3.27	0.03	3.65	1.55	5.95	2.69
window_4435	6.33	1.28	5.83	3.27	0.03	3.65	1.55	5.95	2.69
window_4453	0	0.14	0.41	1.45	0	1.24	0	0.05	0.08
window_4504	58.25	17.64	53.92	26.49	0.13	20.77	6.99	30.15	108.87
window_4541	34.19	26.15	24.67	28.11	0.12	19	12.38	38.8	32.94
window_4618	2.66	0.99	1.14	0.52	0.01	2.48	0.2	4.07	1.06
window_4619	2.66	0.99	1.14	0.52	0.01	2.48	0.2	4.07	1.06
window_4667	4.12	2.44	8.17	1.46	0.03	0.69	0.83	6.8	1.25
window_4668	4.12	2.44	8.17	1.46	0.03	0.69	0.83	6.8	1.25
